City_ID,City,Country,Lat,Lng,Max Temp,Humidty,Cloudiness,Wind Speed,Current Description
588,laxou,FR,48.6832,6.148,10.0,87,90,2.57,overcast clouds
589,tatawin,TN,32.9297,10.4518,12.0,76,1,2.06,clear sky
590,roros,NO,62.5747,11.3842,-27.0,76,90,1.03,fog
591,goderich,CA,43.7501,-81.7165,-6.0,68,100,2.57,overcast clouds
592,birpur,IN,26.5167,87.0167,18.9,39,0,1.68,clear sky
593,ugoofaaru,MV,5.6667,73.0,28.71,70,47,10.33,scattered clouds
594,geilo,NO,60.5333,8.2076,-18.89,68,34,0.97,scattered clouds
595,kismayo,SO,-0.3582,42.5454,24.57,83,63,4.98,broken clouds
596,gao,ML,16.6362,1.637,17.67,23,40,3.14,scattered clouds
597,mandera,KE,3.9366,41.867,22.3,68,20,4.0,few clouds
598,darab,IR,28.7519,54.5444,9.9,40,0,2.62,clear sky
599,ust-tsilma,RU,65.441,52.1498,-9.09,95,100,4.56,light snow
600,keetmanshoop,NA,-26.5833,18.1333,20.19,54,0,2.3,clear sky
601,ongwediva,NA,-17.7833,15.7667,21.0,60,60,1.54,broken clouds
602,korla,CN,41.7597,86.1469,-1.23,75,100,1.38,overcast clouds
603,povenets,RU,62.8487,34.8262,-10.2,96,93,1.86,snow
604,raudeberg,NO,61.9875,5.1352,-1.11,93,100,4.2,light snow
605,bouca,CF,6.5105,18.2733,20.7,30,33,0.87,scattered clouds
606,rurrenabaque,BO,-14.4413,-67.5278,24.65,81,100,0.57,overcast clouds
607,barahona,DO,18.2085,-71.1008,23.13,82,2,1.15,clear sky
608,calama,CL,-22.4667,-68.9333,14.0,30,0,3.6,clear sky
609,mouila,GA,-1.8685,11.0559,22.93,94,100,0.55,overcast clouds
610,lapeer,US,43.0514,-83.3188,-4.0,80,90,4.12,overcast clouds
611,bodden town,KY,19.2833,-81.25,25.56,73,75,3.6,broken clouds
612,wattens,AT,47.2722,11.5993,3.89,100,75,1.03,broken clouds
613,abonnema,NG,4.7084,6.7931,26.0,94,20,0.85,few clouds
614,salem,IN,11.65,78.1667,24.0,78,20,2.51,mist
615,abha,SA,18.2164,42.5053,11.0,93,0,0.2,clear sky
616,sao joao da barra,BR,-21.6403,-41.0511,24.82,84,90,7.77,overcast clouds
617,kinkala,CG,-4.3614,14.7644,24.0,94,72,2.57,broken clouds
618,fasa,IR,28.9383,53.6482,0.0,40,0,2.53,clear sky
619,melbu,NO,68.5044,14.8297,-1.67,92,87,0.45,light snow
620,pimenta bueno,BR,-11.6725,-61.1936,23.33,93,99,0.67,overcast clouds
621,porto novo,BJ,6.4965,2.6036,26.27,85,15,2.75,few clouds
622,hima,UG,0.2958,30.1804,18.99,50,6,0.89,clear sky
623,mandiana,GN,10.6333,-8.6833,18.74,23,0,2.02,clear sky
624,marzuq,YE,14.4,46.4667,13.49,44,0,1.0,clear sky
625,kaoma,ZM,-14.7833,24.8,17.95,96,100,2.72,light rain
626,wajir,KE,1.7471,40.0573,23.0,73,0,2.06,clear sky
627,buchanan,LR,5.8808,-10.0467,24.0,94,40,2.26,mist
628,kautokeino,NO,69.0125,23.0412,-13.32,94,70,2.27,broken clouds
629,havelock,US,34.8791,-76.9013,2.0,87,90,8.23,overcast clouds
630,bella vista,US,36.4295,-94.2316,1.0,86,1,1.54,clear sky
631,demba,CD,-5.51,22.2667,18.78,96,51,0.45,broken clouds
632,casselman,CA,45.3168,-75.0826,-11.11,72,82,1.54,broken clouds
633,salinas,US,36.6777,-121.6555,12.22,82,75,2.44,broken clouds
634,tokmak,UA,47.2514,35.7058,8.44,90,100,5.63,overcast clouds
635,bridlington,GB,54.0831,-0.1919,3.89,82,100,2.68,overcast clouds
636,itinga,BR,-16.6131,-41.7653,20.86,88,89,1.06,overcast clouds
637,safaga,EG,26.7292,33.9365,15.0,41,0,0.54,clear sky
638,araguaina,BR,-7.1911,-48.2072,23.16,87,91,1.45,overcast clouds
639,traverse city,US,44.7631,-85.6206,-3.0,63,75,3.09,broken clouds
640,mastic beach,US,40.7668,-72.8521,2.22,86,90,5.14,light rain
641,rawah,IQ,34.4816,41.9093,9.38,69,0,2.65,clear sky
642,tenenkou,ML,14.4572,-4.9169,18.94,20,98,4.95,overcast clouds
643,hameenlinna,FI,60.996,24.4643,-6.67,92,90,1.03,fog
644,harrisonburg,US,38.4496,-78.8689,-0.56,93,90,1.98,overcast clouds
645,zrenjanin,RS,45.3836,20.3819,3.33,100,75,1.54,mist
646,tromso,NO,69.6496,18.957,-5.56,93,0,1.03,clear sky
647,dingle,PH,10.9995,122.6711,28.69,75,39,6.0,light rain
648,road town,VG,18.4167,-64.6167,26.11,87,8,1.34,clear sky
649,alghero,IT,40.5589,8.3181,14.0,77,40,5.66,scattered clouds
650,blagoyevo,RU,63.3667,47.9167,-11.53,95,99,3.3,overcast clouds
651,ayorou,NE,14.7308,0.9174,18.94,21,64,3.64,broken clouds
652,umm kaddadah,SD,13.6017,26.6876,20.65,23,0,4.38,clear sky
653,janovice nad uhlavou,CZ,49.3451,13.2181,2.78,96,100,2.77,overcast clouds
654,albanel,CA,48.8832,-72.4487,-16.0,85,71,1.54,broken clouds
655,lamu,KE,-2.2717,40.902,22.0,94,40,1.72,mist
656,cabinda,AO,-5.55,12.2,26.29,84,100,3.33,moderate rain
657,vilhena,BR,-12.7406,-60.1458,21.15,92,93,0.48,overcast clouds
658,rafai,CF,4.95,23.9167,20.2,39,59,0.8,broken clouds
659,shuyskoye,RU,59.3736,41.0305,-10.02,96,88,2.96,overcast clouds
660,shenkursk,RU,62.1091,42.896,-9.42,96,85,3.33,overcast clouds
661,develi,TR,38.3906,35.4922,-2.0,93,19,2.32,few clouds
662,ferkessedougou,CI,9.6,-5.2,20.26,23,0,2.14,clear sky
663,nouakchott,MR,18.0858,-15.9785,17.0,36,0,5.14,clear sky
