City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
61,Chiredzi,ZW,2021-01-31 00:36:27,-21.05,31.6667,72.1,93,99,5.46
62,Agirish,RU,2021-01-31 00:36:27,61.9247,63.0231,-7.02,92,100,1.68
63,Mariental,NA,2021-01-31 00:35:47,-24.6333,17.9667,75.15,19,0,11.32
64,Bonaventure,CA,2021-01-31 00:36:27,48.0457,-65.4926,15.8,62,98,10.36
65,Bull Savanna,JM,2021-01-31 00:36:27,17.8868,-77.5902,71.85,81,73,8.66
66,Havre-Saint-Pierre,CA,2021-01-31 00:36:28,50.2334,-63.5986,19.4,73,90,11.5
67,Imbituba,BR,2021-01-31 00:35:19,-28.24,-48.6703,78.8,89,0,5.75
68,Jamestown,US,2021-01-31 00:33:08,42.097,-79.2353,17.6,86,1,3.44
69,Ostrovnoy,RU,2021-01-31 00:35:36,68.0531,39.5131,14.54,95,100,7.47
70,Fuerte Olimpo,PY,2021-01-31 00:36:03,-21.0415,-57.8738,83.3,64,0,7.58
71,Chuy,UY,2021-01-31 00:36:29,-33.6971,-53.4616,71.06,89,100,11.1
72,Olinda,BR,2021-01-31 00:36:29,-8.0089,-34.8553,78.8,69,40,9.22
73,Itupiranga,BR,2021-01-31 00:36:29,-5.1347,-49.3267,74.12,93,100,4.12
74,Coihaique,CL,2021-01-31 00:36:29,-45.5752,-72.0662,64.4,45,0,9.22
75,Krasnoselkup,RU,2021-01-31 00:36:29,65.7,82.4667,-25.92,83,100,12.82
76,Algiers,DZ,2021-01-31 00:33:58,36.7525,3.042,62.6,63,40,19.57
77,Qaanaaq,GL,2021-01-31 00:32:14,77.484,-69.3632,-5.6,74,98,3.36
78,Agadez,NE,2021-01-31 00:36:30,19.75,10.25,52.95,37,0,2.62
79,Capari,MK,2021-01-31 00:36:30,41.0561,21.1783,38.35,76,100,5.59
80,Koster,ZA,2021-01-31 00:36:30,-25.863,26.8976,61.39,85,60,3.04
81,Olafsvik,IS,2021-01-31 00:36:22,64.8945,-23.7142,23.16,89,30,16.17
82,Rundu,NA,2021-01-31 00:36:30,-17.9333,19.7667,68.25,94,100,5.3
83,Victoria,HK,2021-01-31 00:31:43,22.2855,114.1577,63.0,64,0,16.17
84,Plettenberg Bay,ZA,2021-01-31 00:36:31,-34.0527,23.3716,64.9,77,0,4.43
85,East London,ZA,2021-01-31 00:36:31,-33.0153,27.9116,69.93,85,70,3.36
86,Qaqortoq,GL,2021-01-31 00:36:31,60.7167,-46.0333,39.2,28,75,33.38
87,Sambava,MG,2021-01-31 00:36:31,-14.2667,50.1667,75.88,87,0,5.61
88,Livingstonia,MW,2021-01-31 00:35:54,-10.606,34.1063,64.76,80,100,2.89
89,Tsabong,BW,2021-01-31 00:36:32,-26.0217,22.401,77.13,57,0,8.19
90,Progreso,MX,2021-01-31 00:36:32,21.2833,-89.6667,80.6,44,75,11.5
91,Luderitz,NA,2021-01-31 00:36:32,-26.6481,15.1594,65.39,63,0,18.03
92,Port-Cartier,CA,2021-01-31 00:32:06,50.0334,-66.8654,19.4,63,19,6.91
93,Monrovia,LR,2021-01-31 00:36:27,6.3005,-10.7969,75.2,94,40,7.99
94,Clyde River,CA,2021-01-31 00:36:33,70.4692,-68.5914,-9.4,84,90,5.75
95,Bengkulu,ID,2021-01-31 00:31:42,-3.8004,102.2655,74.43,93,100,6.38
96,Zirovnice,CZ,2021-01-31 00:36:33,49.2532,15.1882,24.01,89,100,1.01
97,Shikarpur,PK,2021-01-31 00:36:33,27.9571,68.6379,46.4,87,0,4.76
98,Inverness,GB,2021-01-31 00:34:45,57.4791,-4.224,30.99,93,20,3.44
99,Sao Joao Da Barra,BR,2021-01-31 00:36:34,-21.6403,-41.0511,77.86,78,0,21.54
100,Cidreira,BR,2021-01-31 00:32:34,-30.1811,-50.2056,75.67,91,92,8.34
101,Tasiilaq,GL,2021-01-31 00:35:45,65.6145,-37.6368,21.2,30,90,16.11
102,Apatity,RU,2021-01-31 00:36:34,67.5641,33.4031,10.0,79,100,2.39
103,Cape Town,ZA,2021-01-31 00:33:33,-33.9258,18.4232,71.01,77,75,5.75
104,Takoradi,GH,2021-01-31 00:36:34,4.8845,-1.7554,78.98,89,100,6.04
105,Arlit,NE,2021-01-31 00:36:35,18.7369,7.3853,60.24,27,0,6.62
106,Port Alfred,ZA,2021-01-31 00:36:35,-33.5906,26.891,62.01,92,0,1.77
107,Damghan,IR,2021-01-31 00:36:35,36.1683,54.348,39.47,71,0,5.21
108,Gazojak,TM,2021-01-31 00:36:35,41.1875,61.4036,42.17,59,56,8.48
109,Taguatinga,BR,2021-01-31 00:36:35,-12.3857,-46.5711,80.47,51,99,2.71
110,Mulatupo,PA,2021-01-31 00:36:36,8.9492,-77.7652,78.19,80,42,9.71
111,Kensington,AU,2021-01-31 00:36:36,-33.9167,151.2167,73.99,83,75,21.85
112,Marawi,PH,2021-01-31 00:36:36,7.9986,124.2928,81.0,80,76,1.01
